ClaveLocRes,FECHA,POB_TOTAL_INEGI,POB_MASCULINA_INEGI,POB_FEMENINA_INEGI,AMBITO,TOTAL DE VIVIENDAS HABITADAS,Hombres_ingresos,Mujeres_Ingresos,Total_INgresos_COVID,Hombres_MIGRANTE_SI,Mujeres_MIGRANTE_SI,Hombres_MIGRANTE_NO,Mujeres_MIGRANTE_NO,Hombres_MIGRANTE_NOESPECIFICO,Mujeres_MIGRANTE_NOESPECIFICO,Hombres_Recuperadas,Mujeres_Recuperadas,Total_Recuperados,Hombres_defuncion,Mujeres_defuncion,Total_Defunciones,Hombres_Tres_complicaciones,Mujeres_Tres_complicaciones,Total_Tres_complicaciones,Hombres_Mayor_cuatro_comorbilidades,Mujeres_Maayor_cuatro_comorbilidades,Total_mayor_cuatro_comorbilidades,Hombres_Ambulatorio,Mujeres_Ambulatorio,Total_ambulatorio,Hombres_Hospitalizado,Mujeres_Hospitalizado,Total_hospitalizado,Hombres_Intubado_SI,Mujeres_Intubado_SI,Hombres_Intubado_NO,Mujeres_Intubado_NO,Hombres_Intubado_NO_APLICA,Mujeres_Intubado_NO_APLICA,Hombres_Intubado_NOESPECIFICO,Mujeres_Intubado_NOESPECIFICO,Hombres_UCI_SI,Mujeres_UCI_SI,Hombres_UCI_NO,Mujeres_UCI_NO,Hombres_UCI_NO_APLICA,Mujeres_UCI_NO_APLICA,Hombres_UCI_NOESPECIFICO,Mujeres_UCI_NOESPECIFICO,Hombres_Neumonia_SI,Mujeres_Neumonia_SI,Hombres_Neumonia_NO,Mujeres_Neumonia_NO,Hombres_Neumonia_NOESPECIFICO,Mujeres_Neumonia_NOESPECIFICO,Hombres_Diabetes_SI,Mujeres_Diabetes_SI,Hombres_Diabetes_NO,Mujeres_Diabetes_NO,Hombres_EPOC_SI,Mujeres_EPOC_SI,Hombres_EPOC_NO,Mujeres_EPOC_NO,Hombres_ASMA_SI,Mujeres_ASMA_SI,Hombres_ASMA_NO,Mujeres_ASMA_NO,Hombres_INMUSUPR_SI,Mujeres_INMUSUPR_SI,Hombres_INMUSUPR_NO,Mujeres_INMUSUPR_NO,Hombres_HIPERTENSION_SI,Mujeres_HIPERTENSION_SI,Hombres_HIPERTENSION_NO,Mujeres_HIPERTENSION_NO,Hombres_OTRAS_COM_SI,Mujeres_OTRAS_COM_SI,Hombres_OTRAS_COM_NO,Mujeres_OTRAS_COM_NO,Hombres_CARDIOVASCULAR_SI,Mujeres_CARDIOVASCULAR_SI,Hombres_CARDIOVASCULAR_NO,Mujeres_CARDIOVASCULAR_NO,Hombres_OBESIDAD_SI,Mujeres_OBESIDAD_SI,Hombres_OBESIDAD_NO,Mujeres_OBESIDAD_NO,Hombres_RENAL_CRONICA_SI,Mujeres_RENAL_CRONICA_SI,Hombres_RENAL_CRONICA_NO,Mujeres_RENAL_CRONICA_NO,Hombres_TABAQUISMO_SI,Mujeres_TABAQUISMO_SI,Hombres_TABAQUISMO_NO,Mujeres_TABAQUISMO_NO,Hombres_OTRO_CASO_SI,Mujeres_OTRO_CASO_SI,Hombres_OTRO_CASO_NO,Mujeres_OTRO_CASO_NO,Hombres_OTRO_CASO_NOESPECIFICO,Mujeres_OTRO_CASO_NOESPECIFICO,Hombres_TOMA_MUESTRA_LAB_SI,Mujeres_TOMA_MUESTRA_LAB_SI,Hombres_TOMA_MUESTRA_LAB_NO,Mujeres_TOMA_MUESTRA_LAB_NO,Hombres_TOMA_MUESTRA_ANTIGENO_SI,Mujeres_TOMA_MUESTRA_ANTIGENO_SI,Hombres_TOMA_MUESTRA_ANTIGENO_NO,Mujeres_TOMA_MUESTRA_ANTIGENO_NO,Hombres_COVID19_POSITIVO,Mujeres_COVID19_POSITIVO,Hombres_COVID19_NEGATIVO,Mujeres_COVID19_NEGATIVO,Hombres_COVID19_NO_ADECUADO,Mujeres_COVID19_NO_ADECUADO,Hombres_COVID19_NO_APLICA,Mujeres_COVID19_NO_APLICA,Hombres_ANTIGENO_POSITIVO,Mujeres_ANTIGENO_POSITIVO,Hombres_ANTIGENO_NEGATIVO,Mujeres_ANTIGENO_NEGATIVO,Hombres_ANTIGENO_NO_APLICA,Mujeres_ANTIGENO_NO_APLICA,Temperatura Promedio,Humedad relativa Promedio,PM25 Promedio,PM10 Promedio,O3 Promedio,SO2 Promedio,CO Promedio,NO2 Promedio,NOX Promedio,NO Promedio,Temperatura Máxima,Humedad relativa Máxima,PM25 Máxima,PM10 Máxima,O3 Máxima,NO Máxima,NOX Máxima,NO2 Máxima,CO Máxima,SO2 Máxima,Temperatura Minima,Humedad relativa Minima,NOM_ENT,NOM_MUN,NOM_LOC,LAT_DECIMAL,LON_DECIMAL,ALTITUD
090150001,01/01/2020,545884,260951,284933,Urbano,196593,37,46,83,0,0,2,0,35,46,33,45,78,4,1,5,0,0,0,37,46,83,23,38,61,14,8,22,1,0,6,5,23,38,7,3,1,0,6,5,23,38,7,3,1,1,16,14,19,31,4,5,33,41,1,3,36,43,2,4,35,42,1,2,36,44,4,4,33,42,3,6,34,40,1,2,36,44,2,3,35,43,1,0,36,46,3,2,34,44,3,8,14,13,20,25,29,29,8,17,0,0,37,46,0,0,25,27,4,2,8,17,0,0,0,0,37,46,15.27472,46.46876,17.44455,43.7573,21.0743,6.40248,0.49105,28.63083,52.9031,23.90144,24.1504,85.17924,71.91094,136.34282,100.86893,247.14148,297.93829,297.93829,2.78916,73.79906,5.46147,6.04954,Ciudad de México,Cuauhtémoc,Cuauhtémoc,19.441646,99.151884,2230
090140001,01/01/2020,434153,202121,232032,Urbano,176175,24,31,55,0,0,1,1,23,30,21,29,50,3,2,5,0,1,1,24,31,55,17,23,40,7,8,15,0,1,2,4,17,23,5,3,0,1,2,4,17,23,5,3,0,4,9,9,14,18,3,0,21,31,0,0,24,31,2,2,22,29,3,0,21,31,5,2,19,29,2,4,22,27,0,1,24,30,4,3,20,28,1,0,23,31,4,2,20,29,9,6,8,15,7,10,14,13,10,18,0,0,24,31,0,0,14,13,0,0,10,18,0,0,0,0,24,31,15.3129,46.26191,18.35553,40.69459,21.64494,5.08247,0.41994,26.94007,44.47887,18.20996,24.09569,85.99939,86.98027,103.08798,93.02782,194.16447,241.51767,241.51767,1.9024,65.97471,6.08837,4.02217,Ciudad de México,Benito Juárez,Benito Juárez,19.371992,99.157853,2238
090160001,01/01/2020,414470,195467,219003,Urbano,146828,11,27,38,0,0,1,1,10,26,11,25,36,0,2,2,0,1,1,11,27,38,5,20,25,6,7,13,0,1,4,3,5,20,2,3,0,1,4,3,5,20,2,3,0,2,5,12,6,13,0,4,11,23,0,1,11,25,0,2,11,25,1,1,10,25,0,5,11,22,2,2,9,24,0,2,11,24,0,4,11,23,1,1,10,25,1,4,9,22,0,2,6,14,5,11,7,13,4,14,0,0,11,27,0,0,7,13,0,0,4,14,0,0,0,0,11,27,15.26124,43.01414,17.78769,40.67592,20.57366,5.87962,0.38544,26.57642,48.68073,22.08525,24.44565,85.2707,76.48089,131.6188,93.21739,192.91069,238.63411,238.63411,2.2713,47.48541,5.90372,2.31387,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,19.407269,99.190754,2264
090050001,01/01/2020,1173351,563874,609477,Urbano,340301,153,137,290,0,0,1,0,152,137,143,129,272,10,8,18,0,1,1,153,137,290,106,97,203,47,40,87,0,2,21,17,106,97,26,21,0,1,21,18,106,97,26,21,0,9,63,43,85,85,17,13,136,124,7,3,146,134,8,3,145,134,3,1,150,136,16,14,137,123,2,4,151,133,2,3,151,134,9,12,144,125,2,4,151,133,3,2,150,135,10,10,44,39,99,88,96,75,57,62,0,0,153,137,0,0,81,64,15,11,57,62,0,0,0,0,153,137,15.36437,49.96164,20.95131,47.43416,21.35185,5.62046,0.50171,27.60829,50.89151,22.80667,24.33658,87.91007,74.14725,154.88586,108.70113,240.94852,291.59771,291.59771,3.00073,69.83445,5.1911,7.48333,Ciudad de México,Gustavo A. Madero,Gustavo A. Madero,19.482945,99.113471,2229
090030001,01/01/2020,614447,289110,325337,Urbano,191646,65,88,153,0,0,1,0,64,88,63,86,149,2,2,4,0,0,0,65,88,153,38,63,101,27,25,52,0,0,9,10,38,63,18,15,1,0,8,10,38,63,18,15,0,6,17,19,44,63,4,7,61,81,0,1,65,87,8,6,57,82,0,4,65,84,3,14,62,74,6,4,59,84,4,0,61,88,7,13,58,75,0,2,65,86,4,3,61,85,12,22,44,52,9,14,41,39,24,49,0,0,65,88,0,0,38,37,3,2,24,49,0,0,0,0,65,88,14.89858,46.73368,17.74733,40.04327,22.50685,4.67464,0.41057,25.23203,39.17958,15.02627,23.82501,86.86774,79.00231,115.51759,98.82938,169.98586,213.87229,213.87229,2.09393,56.53653,5.52129,5.04985,Ciudad de México,Coyoacán,Coyoacán,19.350214,99.162146,2247
090040001,01/01/2020,186693,89078,97615,Urbano,52530,4,17,21,0,0,0,1,4,16,4,17,21,0,0,0,0,0,0,4,17,21,3,10,13,1,7,8,0,0,1,3,3,10,0,4,0,0,1,3,3,10,0,4,0,1,2,5,2,11,0,0,4,17,0,1,4,16,0,0,4,17,0,1,4,16,0,4,4,13,1,4,3,13,0,1,4,16,1,2,3,15,0,0,4,17,0,2,4,15,1,2,0,11,3,4,2,4,2,13,0,0,4,17,0,0,2,3,0,1,2,13,0,0,0,0,4,17,12.27754,49.51939,15.8745,33.97924,25.26786,3.71947,0.30274,21.71668,31.69781,10.04764,20.37802,91.02217,66.07117,188.43756,93.80557,163.15621,205.8556,205.8556,1.69759,37.04331,3.94165,5.43823,Ciudad de México,Cuajimalpa de Morelos,Cuajimalpa de Morelos,19.35735,99.299792,2780
090070001,01/01/2020,1835486,887651,947835,Urbano,504456,70,87,157,0,0,0,0,70,87,67,84,151,3,3,6,0,1,1,70,87,157,36,53,89,34,34,68,0,2,12,12,36,53,22,20,0,1,12,13,36,53,22,20,0,5,15,25,50,57,4,5,66,82,2,1,68,86,4,5,66,82,1,6,69,81,3,10,67,77,5,8,65,78,4,3,66,84,8,10,62,77,1,5,69,82,11,4,59,83,11,13,42,42,17,32,37,56,33,31,0,0,70,87,0,0,37,51,0,5,33,31,0,0,0,0,70,87,15.55024,47.85839,20.84901,44.89286,19.60735,5.03377,0.4388,27.14781,44.65129,17.40149,24.51623,86.97354,91.90811,142.69012,91.83224,201.05457,253.52098,253.52098,2.58807,70.00273,5.51467,6.4664,Ciudad de México,Iztapalapa,Iztapalapa,19.359004,99.092622,2242
090100001,01/01/2020,759003,360935,398068,Urbano,219413,64,89,153,0,0,0,0,64,89,62,86,148,2,3,5,1,1,2,64,89,153,42,63,105,22,26,48,2,1,5,12,42,63,15,13,3,1,3,12,42,63,16,13,2,5,19,34,39,50,4,3,60,86,2,2,62,87,2,10,62,79,0,5,64,84,5,6,59,83,8,10,56,78,2,2,62,87,11,13,53,76,2,1,62,88,9,8,55,81,6,10,25,40,33,39,38,40,26,49,0,0,64,89,0,0,35,36,3,4,26,49,0,0,0,0,64,89,15.14026,43.60508,17.80812,39.71985,20.85632,5.67465,0.38555,26.40013,47.90578,21.5159,24.30515,85.66776,77.55583,127.01442,93.94386,191.07958,236.72373,236.72373,2.24785,48.48486,5.7825,2.7508,Ciudad de México,Álvaro Obregón,Álvaro Obregón,19.390806,99.195413,2308
090120001,01/01/2020,599935,285651,314284,Urbano,176605,49,52,101,0,0,0,0,49,52,44,52,96,5,0,5,1,1,2,49,52,101,25,27,52,24,25,49,3,1,5,12,25,27,16,12,1,1,7,12,25,27,16,12,3,4,8,15,36,33,0,6,49,46,1,2,48,50,3,5,46,47,3,2,46,50,2,8,47,44,4,1,45,51,1,1,48,51,1,5,48,47,0,2,49,50,2,2,47,50,9,7,34,36,6,9,31,37,18,15,0,0,49,52,0,0,30,30,1,7,18,15,0,0,0,0,49,52,13.53806,49.07401,17.36985,38.3333,25.64043,4.13116,0.36501,22.45064,33.74526,11.58925,22.51127,91.85759,76.56942,126.12869,107.54176,142.17998,187.44451,187.44451,1.96489,48.85434,4.14968,7.50241,Ciudad de México,Tlalpan,Tlalpan,19.288275,99.167125,2280
090020001,01/01/2020,432205,204950,227255,Urbano,134204,25,29,54,0,0,0,0,25,29,25,27,52,0,2,2,0,0,0,25,29,54,16,13,29,9,16,25,1,0,8,12,16,13,0,4,0,0,9,12,16,13,0,4,1,3,19,18,4,8,1,4,24,25,1,2,24,27,3,1,22,28,0,3,25,26,2,1,23,28,1,4,24,25,0,1,25,28,1,2,24,27,0,0,25,29,1,3,24,26,0,2,6,7,19,20,22,23,3,6,0,0,25,29,0,0,20,23,2,0,3,6,0,0,0,0,25,29,14.86468,48.15489,14.30863,40.80307,20.94221,6.75976,0.50157,29.17964,54.16643,24.78564,24.40889,87.46474,52.3566,131.44035,102.18883,264.85363,313.2312,313.2312,2.89967,76.91108,4.46859,6.65958,Ciudad de México,Azcapotzalco,Azcapotzalco,19.484102,99.18436,2244
090130001,01/01/2020,429481,209088,220393,Urbano,113806,24,24,48,0,0,0,0,24,24,24,23,47,0,1,1,0,0,0,24,24,48,17,17,34,7,7,14,0,0,5,3,17,17,2,4,0,1,5,2,17,17,2,4,0,2,5,7,15,15,0,0,24,24,1,0,23,24,4,0,20,24,1,0,23,24,3,4,21,20,0,2,24,22,1,1,23,23,4,4,20,20,0,0,24,24,2,1,22,23,3,8,16,15,5,1,10,9,14,15,0,0,24,24,0,0,9,8,1,1,14,15,0,0,0,0,24,24,13.93226,49.43998,18.6098,44.28063,24.66437,3.86778,0.4152,21.76152,34.72981,12.89225,23.22503,89.53012,91.39926,150.35434,109.96077,161.38548,202.4538,202.4538,2.33489,44.15294,4.07483,7.26716,Ciudad de México,Xochimilco,Xochimilco,19.263462,99.104913,2237
090060001,01/01/2020,404695,192352,212343,Urbano,117740,23,23,46,0,0,0,0,23,23,23,23,46,0,0,0,0,0,0,23,23,46,16,14,30,7,9,16,0,0,2,6,16,14,5,3,0,1,2,5,16,14,5,3,0,2,7,10,16,11,1,2,22,21,0,0,23,23,3,2,20,21,0,1,23,22,2,3,21,20,3,0,20,23,1,0,22,23,3,4,20,19,0,0,23,23,0,2,23,21,3,4,9,8,11,11,12,15,11,8,0,0,23,23,0,0,12,13,0,2,11,8,0,0,0,0,23,23,15.24663,47.13904,20.73052,42.79335,20.10664,5.98664,0.51231,28.93914,50.17627,20.85469,24.08162,85.52564,91.01212,145.52522,95.7242,225.86887,278.72089,278.72089,2.88008,74.36759,5.35237,5.97822,Ciudad de México,Iztacalco,Iztacalco,19.395901,99.097612,2233
090170001,01/01/2020,443704,210118,233586,Urbano,135789,20,22,42,0,0,0,0,20,22,20,22,42,0,0,0,0,0,0,20,22,42,13,15,28,7,7,14,0,0,2,2,13,15,5,5,0,0,2,2,13,15,5,5,0,0,4,5,15,17,2,2,18,20,1,0,19,22,2,3,18,19,1,0,19,22,1,2,19,20,4,0,16,22,0,1,20,21,2,0,18,22,0,0,20,22,3,1,17,21,0,2,8,6,12,14,10,10,10,12,0,0,20,22,0,0,10,9,0,1,10,12,0,0,0,0,20,22,15.75131,47.06706,21.7551,51.843,20.22136,7.69299,0.56714,31.67822,60.24421,28.43188,24.25586,84.1993,100.00275,147.49445,97.25742,264.94439,325.32565,325.32565,3.04629,90.25505,5.89681,5.16337,Ciudad de México,Venustiano Carranza,Venustiano Carranza,19.419261,99.113701,2229
090080001,01/01/2020,246428,117661,128767,Urbano,67772,13,21,34,0,0,0,0,13,21,13,21,34,0,0,0,0,0,0,13,21,34,8,11,19,5,10,15,0,0,1,5,8,11,4,5,0,0,1,5,8,11,4,5,0,3,5,10,7,8,1,1,12,20,0,0,13,21,3,1,10,20,1,2,12,19,1,1,12,20,1,1,12,20,0,1,13,20,0,4,13,17,0,1,13,20,1,0,12,21,1,0,7,12,5,9,7,11,6,10,0,0,13,21,0,0,7,10,0,1,6,10,0,0,0,0,13,21,13.28064,49.26153,16.8557,34.55923,26.63946,4.05682,0.3306,22.55963,33.09842,10.93006,22.27746,91.87312,71.9778,121.92903,108.14035,142.56709,188.83824,188.83824,1.79025,46.41197,4.11311,7.48136,Ciudad de México,La Magdalena Contreras,La Magdalena Contreras,19.304898,99.241515,2520
090110001,01/01/2020,323771,156497,167274,Urbano,89454,13,15,28,0,0,0,0,13,15,13,14,27,0,1,1,0,0,0,13,15,28,5,12,17,8,3,11,1,0,0,2,5,12,7,1,0,0,0,2,5,12,8,1,1,0,1,5,11,10,3,1,10,14,0,0,13,15,3,0,10,15,0,0,13,15,1,1,12,14,1,0,12,15,0,0,13,15,1,3,12,12,1,0,12,15,0,0,13,15,3,4,8,4,2,7,9,5,4,10,0,0,13,15,0,0,9,4,0,1,4,10,0,0,0,0,13,15,14.12767,47.47899,20.64054,57.29095,26.64,3.06845,0.41351,19.62535,30.73173,10.94039,23.90037,84.50232,87.32451,199.88596,106.3473,161.63844,194.10651,194.10651,2.67035,38.25928,4.32485,5.72312,Ciudad de México,Tláhuac,Tláhuac,19.270566,99.004846,2249
