FECHA,Cluster,Total_Ingresos_Respiratorios_COVID,Temperatura Promedio,Humedad relativa Promedio,PM25 Promedio,PM10 Promedio,O3 Promedio,SO2 Promedio,CO Promedio,NO2 Promedio,NOX Promedio,NO Promedio
2009-01-01,1,11,13.61791,50.53696,33.45107,65.01789,26.25071,5.64897,1.3206,40.53706,82.68567,42.32988
2009-02-01,1,11,15.08249,45.12439,30.78971,68.37192,33.08771,6.62772,1.18093,39.30788,73.50674,34.41628
2009-03-01,1,10,16.85857,38.688265,26.699795,63.163610000000006,34.122865000000004,3.77052,0.949065,32.6246,58.537099999999995,26.146165
2009-04-01,1,15,19.36479,35.66378,28.23079,62.01783,39.88695,2.89731,0.80203,29.31658,48.57926,19.41549
2009-05-01,1,10,19.08725,48.33805,26.53934,54.61598,42.66651,2.70377,0.82462,29.62112,46.48066,17.04979
2009-06-01,1,7,18.6797,59.17114,22.61207,40.80579,35.03793,3.00661,0.75406,27.35427,45.11172,17.9351
2009-07-01,1,13,18.32808,61.94011,17.71354,34.61413,31.91837,2.90819,0.71508,25.2099,43.69079,18.62987
2009-08-01,1,2,17.68493,65.754175,16.436495,31.414595,29.468809999999998,3.0895900000000003,0.714235,24.4854,42.981975000000006,18.594385000000003
2009-09-01,1,12,17.22302,75.638,16.34352,24.86877,24.55591,1.95373,0.86555,27.4513,45.14661,17.77095
2009-10-01,1,20,18.29608,67.6161,19.11938,32.46727,25.5941,3.43745,0.80358,27.03718,47.96523,21.04363
2009-11-01,1,24,14.65269,61.46723,21.13054,41.14185,27.41563,4.25101,0.91051,33.08834,53.73915,20.82119
2009-12-01,1,11,15.14986,53.18492,25.29451,47.91399,23.38524,3.69898,1.24455,34.64757,69.26101,34.7661
2010-01-01,1,9,13.50405,58.357124999999996,22.874625,37.462855000000005,22.384465,4.254265,1.1817350000000002,33.581355,69.75937,36.311485
2010-02-01,1,12,14.6779,50.44833,15.51329,33.70258,24.56481,3.2559,1.0964,30.13418,63.13576,33.12519
2010-03-01,1,16,17.78654,33.90102,20.30165,47.39076,31.53663,4.57829,1.00246,32.08487,56.06627,24.1419
2010-04-01,1,2,18.12666,38.81438,23.27316,48.84901,37.89673,2.94788,0.96114,30.62511,52.04702,21.55146
2010-05-01,1,12,20.333035,37.734665,29.733475,63.456615,47.102729999999994,4.606255,0.9655400000000001,32.30637,49.345775,17.199930000000002
2010-06-01,1,7,19.00813,55.43854,21.30826,42.05015,39.53895,4.27509,0.83467,25.3977,38.98097,13.71061
2010-07-01,1,5,16.73188,78.26004,15.66311,26.36965,20.45691,2.97074,0.94758,23.83115,45.40394,21.64453
2010-08-01,1,6,16.73277,81.009845,14.436875,27.20512,23.451484999999998,1.924165,0.79461,22.219569999999997,40.908,18.77351
2010-09-01,1,2,16.5196,74.25287,13.32358,25.60568,19.59141,1.49734,0.81158,21.43751,40.82462,19.44768
2010-10-01,1,10,15.381065,46.569995000000006,23.35678,47.51745,35.944680000000005,2.70388,0.898485,30.897845,53.107215,22.313535
2010-11-01,1,10,14.743015,48.55531,33.137275,63.32316,34.738525,3.295225,1.203905,37.670770000000005,66.98608999999999,29.427275
2010-12-01,1,9,11.71065,38.064724999999996,43.314195,81.093065,28.566315000000003,6.3432949999999995,1.66727,43.469785,89.17855,45.866975
2011-01-01,1,11,13.62813,36.19568,28.37708,63.38939,27.79176,2.8019,1.25984,33.80965,68.48073,34.79276
2011-02-01,1,16,15.68655,37.7665,26.9964,63.191,33.31674,5.42453,1.06429,30.52074,56.53624,26.25325
2011-03-01,1,12,17.03362,31.00991,32.83102,72.60041,39.20378,3.8707,0.94268,31.09365,52.9468,22.05709
