FECHA,Cluster,Total_Ingresos_Respiratorios_COVID,Temperatura Promedio,Humedad relativa Promedio,PM25 Promedio,PM10 Promedio,O3 Promedio,SO2 Promedio,CO Promedio,NO2 Promedio,NOX Promedio,NO Promedio
2009-01-01,5,21,13.6035,50.78935,34.15288,65.39269,28.08496,4.42208,1.33078,40.80657,83.22299,42.5814
2009-02-01,5,13,15.10269,45.25535,31.52729,70.36425,34.92786,5.45628,1.20392,39.41378,73.66445,34.47749
2009-03-01,5,20,16.86223,38.8096,26.7192,64.04787,34.91087,3.28345,0.95574,32.80184,58.83168,26.23789
2009-04-01,5,19,19.31722,35.89095,28.53711,63.04426,41.74533,1.94887,0.81157,29.39114,48.61862,19.38161
2009-05-01,5,21,19.08628,48.45093,26.62917,56.34664,45.31062,1.88844,0.85147,29.98349,47.06224,17.2679
2009-06-01,5,21,18.6768,59.32331,22.78281,40.29097,36.82041,2.20738,0.77749,27.34291,45.40003,18.25105
2009-07-01,5,6,18.25951,62.13863,17.89537,33.97905,33.73718,2.15029,0.72813,25.70722,44.56372,19.01008
2009-08-01,5,10,17.64762,66.22246,16.64512,30.761,31.05843,2.50113,0.74267,25.07026,44.0641,19.0963
2009-09-01,5,24,17.143,75.58308,16.57675,23.91134,25.82397,1.27393,0.88172,27.55193,45.58178,18.10828
2009-10-01,5,46,18.29557,67.60001,19.18758,31.19023,26.45213,2.70402,0.80456,27.08146,48.08492,21.13483
2009-11-01,5,36,14.62912,61.62522,20.78634,38.96136,28.08628,3.37363,0.91371,32.93008,53.66752,20.93238
2009-12-01,5,28,15.12865,53.29248,25.40309,46.69944,24.61448,3.04897,1.25123,34.6931,69.16957,34.64146
2010-01-01,5,30,13.51372,58.409705,22.813785,37.069195,22.256500000000003,3.98617,1.23041,33.534575000000004,69.754255,36.345325
2010-02-01,5,24,14.65871,50.68263,15.54633,32.37855,26.11454,2.54238,1.09283,30.14171,63.34723,33.3395
2010-03-01,5,17,17.90881,33.93038,20.62438,46.3881,32.95218,3.43977,1.00543,31.91331,55.99455,24.25064
2010-04-01,5,18,18.0469,38.32793,23.83278,48.85276,40.67689,2.37619,0.96127,30.63164,52.17145,21.6655
2010-05-01,5,21,20.34761,37.60748,30.51538,63.86352,47.14186,4.49194,0.95662,32.25096,49.35504,17.25307
2010-06-01,5,15,19.01989,55.44214,21.78168,42.31938,41.75627,4.32594,0.82033,25.78084,39.76413,14.11797
2010-07-01,5,17,16.72171,79.28225,15.80589,25.28254,21.78609,3.07757,0.93739,24.00179,45.97841,22.05847
2010-08-01,5,19,16.70189,81.97674,14.57055,26.47163,24.13824,1.67504,0.80946,22.3799,41.38584,19.1025
2010-09-01,5,19,16.40573,75.37217,13.45501,24.15384,20.47406,0.87744,0.82202,21.63891,41.35567,19.78206
2010-10-01,5,19,15.29067,46.48575,23.60838,46.00305,37.72493,1.83459,0.90499,31.08068,53.18589,22.20328
2010-11-01,5,26,14.7928,48.84109,33.80196,63.34284,34.85442,3.07156,1.19869,37.78376,67.25551,29.58701
2010-12-01,5,47,11.65445,38.07599,44.73963,80.93526,29.74998,5.43722,1.68731,43.88247,89.9773,46.2574
2011-01-01,5,20,13.52271,36.04717,28.79358,63.13025,29.20726,1.85321,1.24049,34.01021,68.90723,35.01804
