LAT_DECIMAL,LON_DECIMAL,Cluster
19.482945,-99.113471,4
19.359004,-99.092622,3
19.390806,-99.195413,0
19.288275,-99.167125,2
19.441646,-99.151884,4
19.484102,-99.18436,4
19.304898,-99.241515,2
19.395901,-99.097612,3
19.419261,-99.113701,3
19.350214,-99.162146,2
19.371992,-99.157853,0
19.35735,-99.299792,0
19.263462,-99.104913,1
19.407269,-99.190754,0
19.270566,-99.004846,1
19.201879,-99.212244,2
19.217969,-99.203967,2
19.298573,-98.995224,1
19.191249,-99.023371,1
19.172526,-99.105423,1
19.302633,-99.012639,1
19.191988,-99.089954,1
19.338611,-99.320833,0
19.20543,-99.20315,2
19.281389,-99.278409,2
19.331004,-99.325681,0
19.201359,-99.141398,1
19.253742,-99.229147,2
19.295757,-98.98007,1
19.187285,-99.073149,1
19.191775,-99.123234,1
19.224846,-99.134174,1
19.2375,-99.0525,1
19.217182,-98.956798,1
19.20333,-99.214153,2
19.244829,-99.039706,1
19.289942,-99.258313,2
19.180801,-99.16091,1
19.199891,-99.05859,1
19.181031,-99.062173,1
19.233889,-99.054722,1
19.233587,-99.186219,2
19.235834,-99.205819,2
19.239314,-99.191192,2
19.185477,-99.16297,1
19.261976,-98.994344,1
19.194125,-99.132907,1
19.130913,-99.168569,1
19.222706,-99.22504,2
19.247022,-99.234582,2
19.217537,-98.993717,1
19.17591,-98.997801,1
19.323321,-99.29508,2
19.246821,-99.199935,2
19.119295,-99.167073,1
19.208121,-99.274708,2
19.216199,-99.139665,1
19.203332,-99.209236,2
19.207102,-99.212337,2
19.201667,-99.077222,1
19.293255,-99.354391,2
19.141771,-99.168549,1
19.243164,-99.044389,1
19.245072,-99.034102,1
19.272876,-99.088092,1
19.202216,-99.224707,2
19.302355,-99.016102,1
19.180829,-99.153021,1
19.217585,-98.972725,1
19.227254,-99.192389,2
19.175029,-99.150872,1
19.197333,-99.134767,1
19.234242,-99.2013,2
19.267745,-99.22151,2
19.208018,-99.228012,2
19.21604,-99.117929,1
19.183472,-99.144282,1
19.194063,-99.23407,2
19.189739,-99.165939,2
19.279592,-99.081388,1
19.235196,-99.188521,2
19.208458,-99.215956,2
19.22968,-99.279452,2
19.26687,-99.287408,2
19.154525,-99.162943,1
19.240896,-98.995596,1
19.265316,-99.09173,1
19.162355,-99.142201,1
19.199448,-99.006287,1
19.287568,-99.021981,1
19.268597,-99.072141,1
19.222502,-99.044606,1
19.124722,-99.176344,1
19.227123,-99.266912,2
19.201637,-99.049411,1
19.199346,-99.166048,2
19.204477,-99.22496,2
19.293817,-98.970086,1
19.199601,-99.230164,2
19.210171,-99.221319,2
19.27975,-99.250407,2
19.199409,-99.240475,2
19.1729,-99.164541,1
19.238146,-99.012398,1
19.17053,-99.247717,2
19.308961,-98.968578,1
19.196619,-99.17272,2
19.238055,-99.083421,1
19.281683,-99.273724,2
19.221617,-99.127383,1
19.350029,-99.325362,0
19.222436,-99.11693,1
19.209639,-99.223052,2
19.215656,-99.047922,1
19.264056,-99.246707,2
19.196118,-99.234906,2
19.204349,-99.102169,1
19.206759,-99.067892,1
19.189314,-99.229742,2
19.217901,-98.963724,1
19.223875,-98.97677,1
19.1739,-99.06929,1
19.214886,-99.003503,1
19.305093,-99.026713,1
19.306092,-99.018767,1
19.207783,-99.032079,1
19.23982,-99.219379,2
19.30384,-99.339958,2
19.218828,-99.111417,1
19.225846,-99.248201,2
19.207308,-99.014493,1
19.224845,-99.237206,2
19.247384,-99.254385,2
19.319274,-99.024964,1
19.232049,-99.075232,1
19.187424,-99.100787,1
19.255653,-98.998573,1
19.280696,-99.24602,2
19.218601,-99.150094,1
19.22021,-99.148673,1
19.189315,-98.99011,1
19.190654,-99.183366,2
19.244537,-98.992093,1
19.258906,-99.059022,1
19.233621,-99.055225,1
19.193611,-99.233055,2
19.20439,-99.162699,2
19.209876,-99.22056,2
19.202778,-99.111944,1
19.302222,-99.344444,2
19.215833,-99.278333,2
19.224778,-98.964944,1
19.176322,-99.031422,1
19.232156,-99.077919,1
19.217092,-99.045122,1
19.183081,-99.018295,1
19.164911,-99.057094,1
19.345926,-99.323115,0
19.214836,-99.150859,1
19.250278,-98.995833,1
19.352651,-99.326671,0
19.197653,-99.130448,1
19.250181,-99.256655,2
19.194672,-99.052653,1
19.185277,-99.093333,1
19.17118,-99.029553,1
19.218898,-99.231863,2
19.288889,-99.264444,2
19.287025,-99.24912,2
19.210351,-99.057322,1
19.171222,-99.068071,1
19.334375,-99.310213,0
19.111988,-99.194835,1
19.23111,-99.134166,1
19.213716,-99.062397,1
19.208455,-98.97056,1
19.172893,-98.977156,1
19.175697,-99.027101,1
19.309316,-98.976459,1
19.322854,-98.970697,1
19.19448,-99.124729,1
19.177268,-99.00873,1
19.22538,-99.143762,1
19.206304,-99.040116,1
19.305158,-98.970156,1
19.274682,-99.280073,2
19.207422,-98.997446,1
19.190614,-99.175531,2
19.219694,-98.95575,1
19.230225,-99.111935,1
19.256874,-99.056676,1
19.21602,-99.230147,2
19.293854,-99.262611,2
19.170004,-99.028776,1
19.227779,-99.091254,1
19.196389,-99.046111,1
19.195118,-99.203404,2
19.230345,-99.125408,1
19.201643,-98.99676,1
19.206118,-99.212903,2
19.136202,-99.175057,1
19.303478,-99.003314,1
19.189194,-99.233981,2
19.305856,-99.023572,1
19.250804,-98.996646,1
19.338563,-99.293242,0
19.313611,-99.310278,2
19.217154,-99.22684,2
19.184409,-99.091525,1
19.181407,-99.025885,1
19.204051,-99.117708,1
19.219902,-99.194168,2
19.202372,-99.11119,1
19.17257,-99.028337,1
19.215556,-98.970833,1
19.235311,-99.14009,1
19.235927,-99.137768,1
19.326977,-99.318271,0
19.18296,-99.094188,1
19.301921,-99.274637,2
19.317784,-99.32401,2
19.209614,-98.980835,1
19.227315,-99.113863,1
19.17164,-99.035461,1
19.186389,-99.175833,2
19.206573,-99.060113,1
19.206616,-99.044565,1
19.300029,-98.986629,1
19.202999,-99.027801,1
19.190492,-99.137703,1
19.212463,-99.0913,1
19.325176,-99.272475,2
19.185277,-99.178333,2
19.221225,-99.046207,1
19.214331,-99.151713,1
19.202132,-99.036743,1
19.269895,-99.010348,1
19.238221,-99.240487,2
19.226095,-99.123934,1
19.224515,-99.115342,1
19.275787,-99.249984,2
19.207558,-99.019632,1
19.1728,-99.040778,1
19.343551,-99.319482,0
19.275833,-99.026388,1
19.174142,-99.027635,1
19.190689,-99.06898,1
19.215096,-99.226887,2
19.217777,-98.956944,1
19.204818,-99.209242,2
19.349437,-99.328236,0
19.230518,-99.115031,1
19.176527,-99.03796,1
19.190063,-99.034836,1
19.177914,-99.07878,1
19.186666,-99.178888,2
19.184193,-99.016374,1
19.19313,-99.070926,1
19.217366,-99.229841,2
19.181181,-99.017673,1
